"ScheduleKey","FormID","InspectionName","Department","Frequency","DueDate","Sequence","Status"
"AIR001|2026-08-01","AIR001","Air Curtains","Sanitation","Weekly","2026-08-01","1","Scheduled"
"BCH001|2026-08-01","BCH001","Box Chutes","Sanitation","Weekly","2026-08-01","1","Scheduled"
"BLD001|2026-08-01","BLD001","Building Repair","Maintenance","Quarterly","2026-08-01","1","Scheduled"
"BRE001|2026-08-01","BRE001","Box Room Elevator","Production","Weekly","2026-08-01","1","Scheduled"
"BRM001|2026-08-01","BRM001","Box Room","Production","Monthly","2026-08-01","1","Scheduled"
"BRW001|2026-08-01","BRW001","Box Room Warehouse","Production","Monthly","2026-08-01","1","Scheduled"
"CIP001|2026-08-01","CIP001","CIP Systems","Sanitation","Monthly","2026-08-01","1","Scheduled"
"CLW001|2026-08-01","CLW001","Cooler Walls","Maintenance","Quarterly","2026-08-01","1","Scheduled"
"COL001|2026-08-01","COL001","Cooler Overheads","Maintenance","Quarterly","2026-08-01","1","Scheduled"
"CVP001|2026-08-01","CVP001","CVP Machines","Production","Monthly","2026-08-01","1","Scheduled"
"DCK001|2026-08-01","DCK001","Dock Pits","Production","Weekly","2026-08-01","1","Scheduled"
"EXH001|2026-08-01","EXH001","Exhaust Fans and Heaters","Maintenance","Monthly","2026-08-01","1","Scheduled"
"FLT001|2026-08-01","FLT001","Forklifts","Production","Weekly","2026-08-01","1","Scheduled"
"ICE001|2026-08-01","ICE001","Ice House & Augers","Sanitation","Bi-Weekly","2026-08-01","1","Scheduled"
"KNR001|2026-08-01","KNR001","Knife Room","Production","Weekly","2026-08-01","1","Scheduled"
"LGT001|2026-08-01","LGT001","Light Covers","Sanitation","Weekly","2026-08-01","1","Scheduled"
"MEP001|2026-08-01","MEP001","Maintenance Electrical & Pump Rooms","Maintenance","Quarterly","2026-08-01","1","Scheduled"
"MSH001|2026-08-01","MSH001","Maintenance Shops","Maintenance","Quarterly","2026-08-01","1","Scheduled"
"OFF001|2026-08-01","OFF001","Offal Building","Production","Every 2 Months","2026-08-01","1","Scheduled"
"OHD001|2026-08-01","OHD001","1st Processing Overhead","Sanitation","Weekly","2026-08-01","1","Scheduled"
"OHD002|2026-08-01","OHD002","2nd Processing Overhead","Sanitation","Weekly","2026-08-01","1","Scheduled"
"OSG001|2026-08-01","OSG001","Outside Grounds","Production","Weekly","2026-08-01","1","Scheduled"
